Date,Close/Last,Volume,Open,High,Low
03/17/2022,102.98,184057,95.34,104.24,94.85
03/16/2022,95.04,271220,95.23,99.22,94.07
03/15/2022,96.44,369225,102.28,102.58,93.53
03/14/2022,103.01,312356,109.42,109.16,99.76
03/11/2022,109.33,329393,105.99,110.29,104.48
03/10/2022,106.02,401484,110.41,114.88,105.53
03/09/2022,108.7,566583,109.05,110.76,107.73
03/08/2022,123.7,555762,120.67,129.44,117.07
03/07/2022,119.4,541864,124.58,127.6,115.54
03/04/2022,115.68,472183,107.96,116.02,114.68
03/03/2022,107.67,574369,111.33,116.57,106.43
03/02/2022,110.6,628163,107.12,112.44,110.5
03/01/2022,103.41,674932,96.09,106.78,95.32
02/28/2022,95.72,463872,97.7,99.1,94.43
02/25/2022,91.59,502277,93.32,92.46,90.06
02/24/2022,92.81,851002,92.52,98,91.45
02/23/2022,92.1,428121,91.74,93.9,90.64
02/22/2022,92.35,28595,92.31,92.5,92.09
02/18/2022,91.07,98808,91.63,92.66,89.03
02/17/2022,91.76,188922,90.9,93.36,90.62
02/16/2022,93.66,361057,92.21,95.01,90
02/15/2022,92.07,401815,94.83,95.17,90.66
02/14/2022,95.46,437005,93.91,95.54,94.5
02/11/2022,93.1,518340,90,94.28,92.86
02/10/2022,89.88,455913,90.01,91.74,89.03
02/09/2022,89.66,408290,89.86,90.58,88.41
02/08/2022,89.36,429214,91.64,91.68,88.51
02/07/2022,91.32,463483,91.82,92.73,90.73
02/04/2022,92.31,392350,90.19,93.17,90.07
02/03/2022,90.27,443424,87.98,90.45,86.75
02/02/2022,88.26,432060,88.35,89.72,87.1
02/01/2022,88.2,354875,88.15,88.87,86.55
01/31/2022,88.15,335056,87.45,88.39,86.34
01/28/2022,86.82,419868,87.5,88.84,86.44
01/27/2022,86.61,411978,87.15,88.54,86.2
01/26/2022,87.35,442128,85.26,87.95,85.01
01/25/2022,85.6,492368,84.15,85.71,82.99
01/24/2022,83.31,495716,84.91,86.09,81.9
01/21/2022,85.14,488219,84.57,85.56,82.78
01/20/2022,86.9,17184,86.23,87.82,86.14
01/19/2022,86.96,74583,86.61,87.91,85.77
01/18/2022,85.43,140652,84.32,86.63,83.5
01/14/2022,83.82,338268,81.73,84.45,81.58
01/13/2022,82.12,326008,82.82,82.94,81.39
01/12/2022,82.64,385040,81.38,83.1,81.17
01/11/2022,81.22,442359,78.42,81.59,78.36
01/10/2022,78.23,356260,78.88,79.45,77.83
01/07/2022,78.9,383363,79.62,80.47,78.52
01/06/2022,79.46,457889,77.24,80.24,76.73
01/05/2022,77.85,379035,77.18,78.58,76.51
01/04/2022,76.99,354487,76.02,77.64,75.7
01/03/2022,76.08,299734,75.69,76.46,74.27
12/31/2021,75.21,220573,76.66,77.08,74.95
12/30/2021,76.99,219634,76.58,77.44,75.78
12/29/2021,76.56,271934,76.04,77.37,75.36
12/28/2021,75.98,239539,75.97,76.92,75.53
12/27/2021,75.57,253684,73.38,76.09,72.57
12/23/2021,73.79,253529,73.03,73.95,72.27
12/22/2021,72.76,295571,71.27,73.16,70.8
12/21/2021,71.12,343262,69.21,71.55,68.56
12/20/2021,68.23,20838,70.07,70.07,66.04
12/17/2021,70.86,55248,71.92,72.26,69.89
12/16/2021,72.38,121440,71.48,72.99,71.03
12/15/2021,70.87,271593,70.35,71.66,69.39
12/14/2021,70.73,330236,71.12,72.03,69.51
12/13/2021,71.29,362043,72.04,73,70.71
12/10/2021,71.67,359324,70.68,72.33,70.32
12/09/2021,70.94,358015,72.52,73.34,70.39
12/08/2021,72.36,433777,71.86,73,71.48
12/07/2021,72.05,455978,69.72,73.03,69.52
12/06/2021,69.49,381415,67.02,70.15,66.72
12/03/2021,66.26,429169,67.5,69.22,65.6
12/02/2021,66.5,647830,65.63,67.49,66.53
12/01/2021,65.57,577281,67.01,69.49,64.84
11/30/2021,66.18,695141,70.04,71.22,64.43
11/29/2021,69.95,654128,69.23,70.07,69.02
11/26/2021,68.15,825163,78.34,78.65,67.4
11/24/2021,78.39,312443,78.48,78.95,78.12
11/23/2021,78.5,487578,76.46,78.86,75.3
11/22/2021,76.75,450842,75.75,76.88,76.12
11/19/2021,76.1,21558,78.76,79.92,75.37
11/18/2021,79.01,45129,78.34,79.36,77.08
11/17/2021,78.36,151244,80.54,80.69,77.69
11/16/2021,80.76,298561,80.93,81.81,80.03
11/15/2021,80.88,315309,80.66,81.2,79.3
11/12/2021,80.79,366085,81.21,81.62,79.78
11/11/2021,81.59,438940,81.41,82.33,80.2
11/10/2021,81.34,517666,84.53,84.97,80.81
11/09/2021,84.15,469906,82.16,84.63,81.78
11/08/2021,81.93,362989,81.13,82.67,81.05
11/05/2021,81.27,495564,79.37,81.8,78.96
11/04/2021,78.81,679979,80.18,83.42,78.25
11/03/2021,80.86,521441,83.07,83.08,79.69
11/02/2021,83.91,406851,83.87,84.41,82.92
11/01/2021,84.05,391380,83.36,84.88,82.74
10/29/2021,83.57,480154,83.09,83.74,81.41
10/28/2021,82.81,465907,82.25,83.21,80.58
10/27/2021,82.66,514578,84.39,84.51,82.01
10/26/2021,84.65,450497,83.72,84.88,82.97
10/25/2021,83.71,552769,83.98,85.41,83.39
10/22/2021,83.76,449253,82.61,84.22,81.76
10/21/2021,82.5,550857,83.58,83.96,80.79
10/20/2021,83.87,20021,83.34,84.25,81.3
10/19/2021,82.96,51571,82.37,83.74,81.8
10/18/2021,82.44,112683,82.6,83.87,81.84
10/15/2021,82.28,244384,81.48,82.66,81.39
10/14/2021,81.31,377617,80.59,81.54,80.38
10/13/2021,80.44,446933,80.58,81.04,79.42
10/12/2021,80.64,563724,80.5,81.62,79.47
10/11/2021,80.52,616208,79.59,82.18,79.55
10/08/2021,79.35,617865,78.86,80.11,78.63
10/07/2021,78.3,512312,77,78.89,74.96
10/06/2021,77.43,442865,79.04,79.78,76.83
10/05/2021,78.93,421795,77.58,79.48,77.47
10/04/2021,77.62,434907,75.9,78.38,75.32
10/01/2021,75.88,366613,75.12,75.99,74.23
09/30/2021,75.03,566200,74.78,76.07,74.53
09/29/2021,74.83,408452,74.38,75.79,73.74
09/28/2021,75.29,456945,75.43,76.67,74.24
09/27/2021,75.45,400276,74.19,75.75,74.16
09/24/2021,73.98,336445,73.24,74.27,72.81
09/23/2021,73.3,389586,71.97,73.5,71.61
09/22/2021,72.23,366304,70.85,72.3,70.64
09/21/2021,70.56,27466,70.59,71.63,69.67
09/20/2021,70.29,49307,71.92,72.08,69.86
09/17/2021,71.97,104011,72.62,72.72,71.21
09/16/2021,72.57,271543,72.65,72.99,71.53
09/15/2021,72.61,391304,70.76,73.14,70.65
09/14/2021,70.46,373449,70.64,71.22,69.98
09/13/2021,70.45,347296,69.74,70.97,69.51
09/10/2021,69.72,382399,67.97,69.96,67.68
09/09/2021,68.14,527656,69.36,69.89,67.56
09/08/2021,69.3,356036,68.37,69.75,68.31
09/07/2021,68.35,464757,69.11,69.48,67.64
09/03/2021,69.29,294675,69.76,70.53,69.05
09/02/2021,69.99,380927,68.29,70.61,67.84
09/01/2021,68.59,376119,68.55,68.69,68.17
08/31/2021,68.5,302301,69.18,69.34,68.16
08/30/2021,69.21,346705,69.3,69.64,67.67
08/27/2021,68.74,305563,67.75,69.05,67.52
08/26/2021,67.42,330284,68,68.31,67.02
08/25/2021,68.36,340791,67.63,68.54,66.92
08/24/2021,67.54,321805,65.54,67.8,65.41
08/23/2021,65.64,381167,61.96,66,61.74
08/20/2021,62.32,20071,64.05,64.1,62.11
08/19/2021,63.69,50937,64.58,64.76,62.63
08/18/2021,65.46,100783,66.58,67.48,64.34
